what,where,why,how,when,text,id
obtained,,,,,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials  ., T1078 
infected,The remote host,,using compromised credentials schedule task remote machines executes malware,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1078 
using,compromised credentials,schedule task remote machines executes malware,,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1078 
compromised,credentials,,,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1078 
schedule,task,,,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1078 
executes,malware,,,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1078 
brute,local admin password,,,,"Emotet can brute force a local admin password, then use it to facilitate lateral movement.", T1078 
force,local admin password,,brute,,"Emotet can brute force a local admin password, then use it to facilitate lateral movement.", T1078 
use,Emotet,facilitate lateral movement,,,"Emotet can brute force a local admin password, then use it to facilitate lateral movement.", T1078 
facilitate,lateral movement,,,,"Emotet can brute force a local admin password, then use it to facilitate lateral movement.", T1078 
used,stolen credentials,connect remotely victim networks using VPNs protected single factor,,,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor., T1078 
stolen,credentials,,,,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor., T1078 
connect,victim networks,,using VPNs protected single factor,,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor., T1078 
victim,networks,,,,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor., T1078 
using,FIN10,,,,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor., T1078 
protected,VPNs,,single factor,,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor., T1078 
moved,The group,,using Local Administrator account,,The group has also moved laterally using the Local Administrator account., T1078 
using,Local Administrator account,,,,The group has also moved laterally using the Local Administrator account., T1078 
used,FIN4,hijack email communications,,,FIN4 has used legitimate credentials to hijack email communications., T1078 
hijack,email communications,,,,FIN4 has used legitimate credentials to hijack email communications., T1078 
used,FIN5,maintain access victim environment,,,"FIN5 has used legitimate VPN, RDP, Citrix, or VNC credentials to maintain access to a victim environment.", T1078 
maintain,access victim environment,,,,"FIN5 has used legitimate VPN, RDP, Citrix, or VNC credentials to maintain access to a victim environment.", T1078 
move,FIN6,,laterally,,"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes.", T1078 
used,FIN6,,,,"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes.", T1078 
stolen,credentials,,,,"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes.", T1078 
gathered,usernames password hashes,,,,"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes.", T1078 
utilized,Valid Accounts,,,,FIN8 has utilized Valid Accounts during and Persistence and Lateral Movement., T1078 
used,"valid , compromised email accounts",including send malicious emails victim organizations,,,"Leviathan has used valid, compromised email accounts for defense evasion, including to send malicious emails to other victim organizations.", T1078 
compromised,email accounts,,,,"Leviathan has used valid, compromised email accounts for defense evasion, including to send malicious emails to other victim organizations.", T1078 
including,send malicious emails victim organizations,,,,"Leviathan has used valid, compromised email accounts for defense evasion, including to send malicious emails to other victim organizations.", T1078 
send,malicious emails,victim organizations,,,"Leviathan has used valid, compromised email accounts for defense evasion, including to send malicious emails to other victim organizations.", T1078 
acquires,valid SSH accounts,,brute force,,Linux Rabbit acquires valid SSH accounts through brute force., T1078 
used,valid accounts shared Managed Service Providers clients,move two environments,,,menuPass has used valid accounts shared between Managed Service Providers and clients to move between the two environments., T1078 
shared,valid accounts,,,,menuPass has used valid accounts shared between Managed Service Providers and clients to move between the two environments., T1078 
move,valid accounts shared Managed Service Providers clients,,,,menuPass has used valid accounts shared between Managed Service Providers and clients to move between the two environments., T1078 
used,compromised VPN accounts,gain access victim systems,,,Night Dragon has used compromised VPN accounts to gain access to victim systems., T1078 
compromised,VPN accounts,,,,Night Dragon has used compromised VPN accounts to gain access to victim systems., T1078 
gain,access victim systems,,,,Night Dragon has used compromised VPN accounts to gain access to victim systems., T1078 
use,valid credentials,spread remote systems,,,NotPetya can use valid credentials with PsExec or wmic to spread itself to remote systems., T1078 
spread,NotPetya,,,,NotPetya can use valid credentials with PsExec or wmic to spread itself to remote systems., T1078 
used,compromised credentials,access systems victim network,,,OilRig has used compromised credentials to access other systems on a victim network., T1078 
compromised,credentials,,,,OilRig has used compromised credentials to access other systems on a victim network., T1078 
access,systems victim network,,,,OilRig has used compromised credentials to access other systems on a victim network., T1078 
attempts,PittyTiger,,,,PittyTiger attempts to obtain legitimate credentials during operations., T1078 
obtain,PittyTiger,,,,PittyTiger attempts to obtain legitimate credentials during operations., T1078 
extract,email,,using compromised credentials,,Some SeaDuke samples have a module to extract email from Microsoft Exchange servers using compromised credentials., T1078 
using,compromised credentials,,,,Some SeaDuke samples have a module to extract email from Microsoft Exchange servers using compromised credentials., T1078 
compromised,credentials,,,,Some SeaDuke samples have a module to extract email from Microsoft Exchange servers using compromised credentials., T1078 
using,current privileges,,,,"If Shamoon cannot access shares using current privileges, it attempts access using hard coded, domain-specific credentials gathered earlier in the intrusion.", T1078 
attempts,access,,"using hard coded , domain specific credentials gathered earlier intrusion",,"If Shamoon cannot access shares using current privileges, it attempts access using hard coded, domain-specific credentials gathered earlier in the intrusion.", T1078 
using,"hard coded , domain specific credentials gathered earlier intrusion",,,,"If Shamoon cannot access shares using current privileges, it attempts access using hard coded, domain-specific credentials gathered earlier in the intrusion.", T1078 
coded,credentials,,hard,,"If Shamoon cannot access shares using current privileges, it attempts access using hard coded, domain-specific credentials gathered earlier in the intrusion.", T1078 
gathered,"hard coded , domain specific credentials",,,,"If Shamoon cannot access shares using current privileges, it attempts access using hard coded, domain-specific credentials gathered earlier in the intrusion.", T1078 
leveraged,valid accounts,maintain access victim network,,,Soft Cell leveraged valid accounts to maintain access to a victim network., T1078 
maintain,access victim network,,,,Soft Cell leveraged valid accounts to maintain access to a victim network., T1078 
add,Windows admin account,order allow ensure continued access via RDP,tool,,Stolen Pencil has a tool to add a Windows admin account in order to allow them to ensure continued access via RDP., T1078 
allow,ensure continued access via RDP,,,,Stolen Pencil has a tool to add a Windows admin account in order to allow them to ensure continued access via RDP., T1078 
ensure,continued access via RDP,,,,Stolen Pencil has a tool to add a Windows admin account in order to allow them to ensure continued access via RDP., T1078 
continued,access,,,,Stolen Pencil has a tool to add a Windows admin account in order to allow them to ensure continued access via RDP., T1078 
used,Suckfly,navigate internal victim network though legitimate account owner,,,Suckfly used legitimate account credentials that they dumped to navigate the internal victim network as though they were the legitimate account owner., T1078 
dumped,,,,,Suckfly used legitimate account credentials that they dumped to navigate the internal victim network as though they were the legitimate account owner., T1078 
navigate,internal victim network,,though legitimate account owner,,Suckfly used legitimate account credentials that they dumped to navigate the internal victim network as though they were the legitimate account owner., T1078 
used,compromised VPN accounts,,,,TEMP.Veles has used compromised VPN accounts., T1078 
compromised,VPN accounts,,,,TEMP.Veles has used compromised VPN accounts., T1078 
used,compromised credentials,"victim 's endpoint management platform , Altiris , move laterally",,,"Threat Group-1314 actors used compromised credentials for the victim's endpoint management platform, Altiris, to move laterally.", T1078 
compromised,credentials,,,,"Threat Group-1314 actors used compromised credentials for the victim's endpoint management platform, Altiris, to move laterally.", T1078 
move,"victim 's endpoint management platform , Altiris ,",,laterally,,"Threat Group-1314 actors used compromised credentials for the victim's endpoint management platform, Altiris, to move laterally.", T1078 
obtain,Threat Group-3390 actors,,using variety methods,,Threat Group-3390 actors obtain legitimate credentials using a variety of methods and use them to further lateral movement on victim networks., T1078 
using,variety methods,,,,Threat Group-3390 actors obtain legitimate credentials using a variety of methods and use them to further lateral movement on victim networks., T1078 
use,,lateral movement victim networks,,,Threat Group-3390 actors obtain legitimate credentials using a variety of methods and use them to further lateral movement on victim networks., T1078 
creates,valid users provide access system,,,,Umbreon creates valid users to provide access to the system., T1078 
provide,access,system,,,Umbreon creates valid users to provide access to the system., T1078 
access,victim?õ????s webcam,,,,Agent Tesla can access the victim?õ????s webcam and record video., T1125 
,,,,,Bandook has modules that are capable of capturing from a victim's webcam., T1125 
access,webcam victim?õ????s machine,,,,Cobian RAT has a feature to access the webcam on the victim?õ????s machine., T1125 
access,victim?õ????s webcam,take pictures,,,DarkComet can access the victim?õ????s webcam to take pictures., T1125 
take,pictures,,,,DarkComet can access the victim?õ????s webcam to take pictures., T1125 
capturing,video,,,,Derusbi is capable of capturing video., T1125 
capture,webcam data,,,,Empire can capture webcam data on Windows and macOS systems., T1125 
capture,video,,,,EvilGrab has the capability to capture video from a victim machine., T1125 
created,FIN7,,,,FIN7 created a custom video recording capability that could be used to monitor operations in the victim's environment., T1125 
,,,,,FIN7 created a custom video recording capability that could be used to monitor operations in the victim's environment., T1125 
used,custom video recording capability,monitor operations victim 's environment,,,FIN7 created a custom video recording capability that could be used to monitor operations in the victim's environment., T1125 
monitor,operations victim 's environment,,,,FIN7 created a custom video recording capability that could be used to monitor operations in the victim's environment., T1125 
activate,victim?õ????s webcam,capture content,remotely,,InvisiMole can remotely activate the victim?õ????s webcam to capture content., T1125 
capture,content,,,,InvisiMole can remotely activate the victim?õ????s webcam to capture content., T1125 
capture,video,,,,jRAT has the capability to capture video from a webcam., T1125 
captures,images,,,,Kazuar captures images from the webcam., T1125 
takes,photos,,,,Machete takes photos from the computer?õ????s web camera., T1125 
access,victim 's webcam,,,,NanoCore can access the victim's webcam and capture data., T1125 
access,victim 's webcam,,,,njRAT can access the victim's webcam., T1125 
access,connected webcam,,,,Pupy can access a connected webcam and capture pictures., T1125 
perform,webcam viewing,,,,QuasarRAT can perform webcam viewing., T1125 
,,,,,QuasarRAT can perform webcam viewing., T1125 
access,system?õ????s webcam,,,,Remcos can access a system?õ????s webcam and take pictures., T1125 
take,pictures,,,,Remcos can access a system?õ????s webcam and take pictures., T1125 
access,webcam,,,,Revenge RAT has the ability to access the webcam., T1125 
observed,Silence,,,,Silence has been observed making videos of victims to observe bank employees day to day activities., T1125 
making,videos victims,observe bank employees day day activities,,,Silence has been observed making videos of victims to observe bank employees day to day activities., T1125 
observe,day day activities,,,,Silence has been observed making videos of victims to observe bank employees day to day activities., T1125 
uses,Skype API,record audio video calls,,,T9000 uses the Skype API to record audio and video calls., T1125 
record,audio video calls,,,,T9000 uses the Skype API to record audio and video calls., T1125 
writes,encrypted data,directory,,,It writes encrypted data to directory, T1125 
encrypted,data,,,,It writes encrypted data to directory, T1125 
perform,video device spying,,,,ZxShell has a command to perform video device spying., T1125 
detect,BadPatch,,,,"BadPatch attempts to detect if it is being run in a Virtual Machine   using a WMI query for disk drive name, BIOS, and motherboard information.", T1497 
run,,,"using WMI query disk drive name , BIOS , motherboard information",,"BadPatch attempts to detect if it is being run in a Virtual Machine   using a WMI query for disk drive name, BIOS, and motherboard information.", T1497 
using,"WMI query disk drive name , BIOS , motherboard information",,,,"BadPatch attempts to detect if it is being run in a Virtual Machine   using a WMI query for disk drive name, BIOS, and motherboard information.", T1497 
check,Some versions CozyCar,,,,Some versions of CozyCar will check to ensure it is not being executed inside a virtual machine or a known malware analysis sandbox environment., T1497 
ensure,Some versions CozyCar,,,,Some versions of CozyCar will check to ensure it is not being executed inside a virtual machine or a known malware analysis sandbox environment., T1497 
known,malware analysis sandbox environment,,,,Some versions of CozyCar will check to ensure it is not being executed inside a virtual machine or a known malware analysis sandbox environment., T1497 
detects,,,,,"If it detects that it is, it will exit.", T1497 
,,,,,"If it detects that it is, it will exit.", T1497 
detect,sandbox analysis environments,,inspecting process list Registry,,Dyre can detect sandbox analysis environments by inspecting the process list and Registry., T1497 
inspecting,process list Registry,,,,Dyre can detect sandbox analysis environments by inspecting the process list and Registry., T1497 
identify,malware sandbox environment,,,,EvilBunny has checks in place to identify if the malware is in a sandbox environment., T1497 
used,images embedded document lures activate payload user double clicks avoid sandboxes,,,,FIN7 used images embedded into document lures that only activate the payload when a user double clicks to avoid sandboxes., T1497 
embedded,images,document lures activate payload user double clicks avoid sandboxes,,,FIN7 used images embedded into document lures that only activate the payload when a user double clicks to avoid sandboxes., T1497 
activate,payload,,,,FIN7 used images embedded into document lures that only activate the payload when a user double clicks to avoid sandboxes., T1497 
avoid,sandboxes,,,,FIN7 used images embedded into document lures that only activate the payload when a user double clicks to avoid sandboxes., T1497 
,,,,,FinFisher probes the system to check for sandbox/virtualized environments., T1497 
virtualized,environments,,,,FinFisher probes the system to check for sandbox/virtualized environments., T1497 
uses,WMI,"check BIOS manufacturer information strings like "" VMWare "" , "" Virtual "" , "" XEN "" another WMI request get current temperature hardware determine 's virtual machine environment",,,"GravityRAT uses WMI to check the BIOS and manufacturer information for strings like ""VMWare"", ""Virtual"", and ""XEN"" and another WMI request to get the current temperature of the hardware to determine if it's a virtual machine environment.", T1497 
check,BIOS manufacturer information,,,,"GravityRAT uses WMI to check the BIOS and manufacturer information for strings like ""VMWare"", ""Virtual"", and ""XEN"" and another WMI request to get the current temperature of the hardware to determine if it's a virtual machine environment.", T1497 
get,current temperature hardware,determine 's virtual machine environment,,,"GravityRAT uses WMI to check the BIOS and manufacturer information for strings like ""VMWare"", ""Virtual"", and ""XEN"" and another WMI request to get the current temperature of the hardware to determine if it's a virtual machine environment.", T1497 
determine,'s virtual machine environment,,,,"GravityRAT uses WMI to check the BIOS and manufacturer information for strings like ""VMWare"", ""Virtual"", and ""XEN"" and another WMI request to get the current temperature of the hardware to determine if it's a virtual machine environment.", T1497 
's,,,,,"GravityRAT uses WMI to check the BIOS and manufacturer information for strings like ""VMWare"", ""Virtual"", and ""XEN"" and another WMI request to get the current temperature of the hardware to determine if it's a virtual machine environment.", T1497 
check,process malware uses debugged,,methods,,HAWKBALL has methods to check if the process the malware uses is being debugged., T1497 
uses,process,,,,HAWKBALL has methods to check if the process the malware uses is being debugged., T1497 
debugged,process malware uses,,,,HAWKBALL has methods to check if the process the malware uses is being debugged., T1497 
performs,several anti VM sandbox checks,,,,OopsIE performs several anti-VM and sandbox checks on the victim's machine., T1497 
used,One technique,,,,One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it?õ????s running in a virtual environment., T1497 
perform,WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature,check temperature see it?õ????s running virtual environment,,,One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it?õ????s running in a virtual environment., T1497 
SELECT,*,check temperature see it?õ????s running virtual environment,,,One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it?õ????s running in a virtual environment., T1497 
check,temperature,see it?õ????s running virtual environment,,,One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it?õ????s running in a virtual environment., T1497 
see,it?õ????s running virtual environment,,,,One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it?õ????s running in a virtual environment., T1497 
running,it?õ????s,,,,One technique the group has used was to perform a WMI query SELECT * FROM MSAcpi_ThermalZoneTemperature to check the temperature to see if it?õ????s running in a virtual environment., T1497 
checks,variant,,,,OSX_OCEANLOTUS.D has a variant that checks to see if it is being run in a virtual machine environment or connected to a debugger., T1497 
see,run virtual machine environment connected debugger,,,,OSX_OCEANLOTUS.D has a variant that checks to see if it is being run in a virtual machine environment or connected to a debugger., T1497 
run,,,,,OSX_OCEANLOTUS.D has a variant that checks to see if it is being run in a virtual machine environment or connected to a debugger., T1497 
connected,debugger,,,,OSX_OCEANLOTUS.D has a variant that checks to see if it is being run in a virtual machine environment or connected to a debugger., T1497 
running,VMware tools,,,,"PlugX checks if VMware tools is running in the background by searching for any process named ""vmtoolsd"".", T1497 
searching,"process named "" vmtoolsd """,,,,"PlugX checks if VMware tools is running in the background by searching for any process named ""vmtoolsd"".", T1497 
named,process,,,,"PlugX checks if VMware tools is running in the background by searching for any process named ""vmtoolsd"".", T1497 
check,module,,,,Pupy has a module to check if its running on a virtual machine., T1497 
uses,WMI,"check BIOS version VBOX , bochs , qemu , virtualbox , vm check evidence script might executing within analysis environment",,,"RogueRobin uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment.", T1497 
check,BIOS version,,,,"RogueRobin uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment.", T1497 
,,,,,"RogueRobin uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment.", T1497 
check,RogueRobin,,,,"RogueRobin uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment.", T1497 
,,,,,"RogueRobin uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment.", T1497 
,,,,,"RogueRobin uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment.", T1497 
,,perform anti VM checks,,,Smoke Loader scans processes to perform anti-VM checks., T1497 
perform,anti VM checks,,,,Smoke Loader scans processes to perform anti-VM checks., T1497 
used,several anti emulation techniques,prevent automated analysis emulators sandboxes,,,StoneDrill has used several anti-emulation techniques to prevent automated analysis by emulators or sandboxes., T1497 
prevent,automated analysis emulators sandboxes,,,,StoneDrill has used several anti-emulation techniques to prevent automated analysis by emulators or sandboxes., T1497 
automated,analysis,,,,StoneDrill has used several anti-emulation techniques to prevent automated analysis by emulators or sandboxes., T1497 
checks,SynAck,attempt avoid launching sandbox,,,SynAck checks its directory location in an attempt to avoid launching in a sandbox., T1497 
avoid,launching sandbox,,,,SynAck checks its directory location in an attempt to avoid launching in a sandbox., T1497 
,,,,,SynAck checks its directory location in an attempt to avoid launching in a sandbox., T1497 
performed,anti analysis checks,determine malware debugging environment,,,The White Company has performed anti-analysis checks to determine if its malware was in a debugging environment., T1497 
determine,The White Company,,,,The White Company has performed anti-analysis checks to determine if its malware was in a debugging environment., T1497 
,,,,,The White Company has performed anti-analysis checks to determine if its malware was in a debugging environment., T1497 
compromised,machine,,,,"UBoatRAT checks for virtualization software such as VMWare, VirtualBox, or QEmu on the compromised machine.", T1497 
used,30 minute delay execution,evade sandbox monitoring tools,,,Ursnif has used a 30 minute delay after execution to evade sandbox monitoring tools., T1497 
evade,Ursnif,,,,Ursnif has used a 30 minute delay after execution to evade sandbox monitoring tools., T1497 
tries,"detect Virtual PC , Sandboxie , VMware",,,,"yty has some basic anti-sandbox detection that tries to detect Virtual PC, Sandboxie, and VMware.", T1497 
detect,"Virtual PC , Sandboxie , VMware",,,,"yty has some basic anti-sandbox detection that tries to detect Virtual PC, Sandboxie, and VMware.", T1497 
used,blogs WordPress,,,,APT12 has used blogs and WordPress for C2 infrastructure., T1102 
,,,,,APT37 leverages social networking sites and cloud platforms   for C2., T1102 
used,APT41,,"including GitHub , Pastebin ,",,"APT41 used legitimate websites for C2 through dead drop resolvers  , including GitHub, Pastebin, and Microsoft TechNet.", T1102 
including,"GitHub , Pastebin , Microsoft TechNet",,,,"APT41 used legitimate websites for C2 through dead drop resolvers  , including GitHub, Pastebin, and Microsoft TechNet.", T1102 
use,BADNEWS,,,,"BADNEWS can use multiple C2 channels, including RSS feeds, Github, forums, and blogs.", T1102 
including,"RSS feeds , Github , forums , blogs",,,,"BADNEWS can use multiple C2 channels, including RSS feeds, Github, forums, and blogs.", T1102 
,,,,,"BADNEWS can use multiple C2 channels, including RSS feeds, Github, forums, and blogs.", T1102 
collects,C2 information,,via dead drop resolver,,BADNEWS also collects C2 information via a dead drop resolver., T1102 
uses,Microsoft?õ????s TechNet Web portal,obtain dead drop resolver containing encoded tag IP address command control server,,,BLACKCOFFEE uses Microsoft?õ????s TechNet Web portal to obtain a dead drop resolver containing an encoded tag with the IP address of a command and control server., T1102 
obtain,BLACKCOFFEE,,,,BLACKCOFFEE uses Microsoft?õ????s TechNet Web portal to obtain a dead drop resolver containing an encoded tag with the IP address of a command and control server., T1102 
containing,dead drop resolver,,,,BLACKCOFFEE uses Microsoft?õ????s TechNet Web portal to obtain a dead drop resolver containing an encoded tag with the IP address of a command and control server., T1102 
encoded,tag,,,,BLACKCOFFEE uses Microsoft?õ????s TechNet Web portal to obtain a dead drop resolver containing an encoded tag with the IP address of a command and control server., T1102 
obfuscated,It,,,,It has also obfuscated its C2 traffic as normal traffic to sites such as Github., T1102 
uses,dead drop resolver,access malicious payloads,,,BRONZE BUTLER's MSGET downloader uses a dead drop resolver to access malicious payloads., T1102 
access,malicious payloads,,,,BRONZE BUTLER's MSGET downloader uses a dead drop resolver to access malicious payloads., T1102 
used,"VBScript named "" ggldr "" uses Google Apps Script , Sheets , Forms services C2",,,,"Carbanak has used a VBScript named ""ggldr"" that uses Google Apps Script, Sheets, and Forms services for C2.", T1102 
named,VBScript,,,,"Carbanak has used a VBScript named ""ggldr"" that uses Google Apps Script, Sheets, and Forms services for C2.", T1102 
uses,"Google Apps Script , Sheets , Forms services",,,,"Carbanak has used a VBScript named ""ggldr"" that uses Google Apps Script, Sheets, and Forms services for C2.", T1102 
uses,Microsoft OneDrive account,exchange commands stolen data operators,,,One variant of CloudDuke uses a Microsoft OneDrive account to exchange commands and stolen data with its operators., T1102 
exchange,commands stolen data,,,,One variant of CloudDuke uses a Microsoft OneDrive account to exchange commands and stolen data with its operators., T1102 
stolen,data,,,,One variant of CloudDuke uses a Microsoft OneDrive account to exchange commands and stolen data with its operators., T1102 
uses,Comnie,avoid DNS based blocking communication command control server,,,Comnie uses blogs and third-party sites   to avoid DNS-based blocking of their communication to the command and control server., T1102 
avoid,DNS based blocking communication command control server,,,,Comnie uses blogs and third-party sites   to avoid DNS-based blocking of their communication to the command and control server., T1102 
based,blocking,,,,Comnie uses blogs and third-party sites   to avoid DNS-based blocking of their communication to the command and control server., T1102 
uses,CozyCar,backup C2 channel Twitter accounts specified configuration file,,,CozyCar uses Twitter as a backup C2 channel to Twitter accounts specified in its configuration file., T1102 
specified,Twitter accounts,,,,CozyCar uses Twitter as a backup C2 channel to Twitter accounts specified in its configuration file., T1102 
leveraging,"cloud storage APIs Cloud , Box , Dropbox , Yandex",,,,"DOGCALL is capable of leveraging cloud storage APIs such as Cloud, Box, Dropbox, and Yandex for C2.", T1102 
use,Empire,,,,Empire can use Dropbox and GitHub for C2., T1102 
used,Pastebin,host content operation,,,FIN6 has used Pastebin to host content for the operation., T1102 
host,content operation,,,,FIN6 has used Pastebin to host content for the operation., T1102 
used,FIN7,,,,"FIN7 used legitimate services like Google Docs, Google Scripts, and Pastebin for C2.", T1102 
operated,servers,,,,GLOOXMAIL communicates to servers operated by Google using the Jabber/XMPP protocol., T1102 
using,Jabber / XMPP protocol,,,,GLOOXMAIL communicates to servers operated by Google using the Jabber/XMPP protocol., T1102 
establishes,C2 channel,,downloading resources Web services like Twitter GitHub,,"The ""tDiscoverer"" variant of HAMMERTOSS establishes a C2 channel by downloading resources from Web services like Twitter and GitHub.", T1102 
downloading,resources,,,,"The ""tDiscoverer"" variant of HAMMERTOSS establishes a C2 channel by downloading resources from Web services like Twitter and GitHub.", T1102 
contain,HAMMERTOSS binaries,,,,HAMMERTOSS binaries contain an algorithm that generates a different Twitter handle for the malware to check for instructions every day., T1102 
generates,algorithm,,,,HAMMERTOSS binaries contain an algorithm that generates a different Twitter handle for the malware to check for instructions every day., T1102 
handle,Twitter,,,,HAMMERTOSS binaries contain an algorithm that generates a different Twitter handle for the malware to check for instructions every day., T1102 
,,,,,HAMMERTOSS binaries contain an algorithm that generates a different Twitter handle for the malware to check for instructions every day., T1102 
use,public cloud based storage providers,,,,KARAE can use public cloud-based storage providers for command and control., T1102 
based,storage providers,,,,KARAE can use public cloud-based storage providers for command and control., T1102 
used,compromised WordPress blogs,,,,Kazuar has used compromised WordPress blogs as C2 servers., T1102 
compromised,WordPress blogs,,,,Kazuar has used compromised WordPress blogs as C2 servers., T1102 
received,C2 instructions,,,,Leviathan has received C2 instructions from user profiles created on legitimate websites such as Github and TechNet., T1102 
created,user profiles,,,,Leviathan has received C2 instructions from user profiles created on legitimate websites such as Github and TechNet., T1102 
uses,Dropbox cloud storage service,,,,LOWBALL uses the Dropbox cloud storage service for command and control., T1102 
use,SOAP Web service,communicate C2 server,,,Magic Hound malware can use a SOAP Web service to communicate with its C2 server., T1102 
,,,,,Magic Hound malware can use a SOAP Web service to communicate with its C2 server., T1102 
use,Some MiniDuke components,initially obtain address C2 server backup hard coded C2 server responds,,,Some MiniDuke components use Twitter to initially obtain the address of a C2 server or as a backup if no hard-coded C2 server responds., T1102 
obtain,address C2 server,,,,Some MiniDuke components use Twitter to initially obtain the address of a C2 server or as a backup if no hard-coded C2 server responds., T1102 
coded,C2 server,,hard,,Some MiniDuke components use Twitter to initially obtain the address of a C2 server or as a backup if no hard-coded C2 server responds., T1102 
,,,,,Some MiniDuke components use Twitter to initially obtain the address of a C2 server or as a backup if no hard-coded C2 server responds., T1102 
uses,OnionDuke,,,,OnionDuke uses Twitter as a backup C2 method., T1102 
designed,module,,,,It also has a module designed to post messages to the Russian VKontakte social media site., T1102 
post,messages,Russian VKontakte social media site,,,It also has a module designed to post messages to the Russian VKontakte social media site., T1102 
used,Technet Pastebin web pages,,,,Orz has used Technet and Pastebin web pages for command and control., T1102 
,,,,,Patchwork hides base64-encoded and encrypted C2 server locations in comments on legitimate websites., T1102 
encrypted,C2 server locations,,,,Patchwork hides base64-encoded and encrypted C2 server locations in comments on legitimate websites., T1102 
uses,Pastebin,store C2 addresses,,,PlugX uses Pastebin to store C2 addresses., T1102 
store,C2 addresses,,,,PlugX uses Pastebin to store C2 addresses., T1102 
used,AOL Instant Messenger,,,,POORAIM has used AOL Instant Messenger for C2., T1102 
uses,Microsoft OneDrive,,via network drive mapped net use,,PowerStallion uses Microsoft OneDrive as a C2 server via a network drive mapped with net use., T1102 
mapped,network drive,,net use,,PowerStallion uses Microsoft OneDrive as a C2 server via a network drive mapped with net use., T1102 
used,blogpost,,,,Revenge RAT used blogpost  as its primary command and control server during a campaign., T1102 
used,Google Drive,,,,RogueRobin has used Google Drive as a Command and Control channel., T1102 
legitimate,social networking sites,,,,ROKRAT leverages legitimate social networking sites and cloud platforms   for command and control communications., T1102 
,,,,,ROKRAT leverages legitimate social networking sites and cloud platforms   for command and control communications., T1102 
used,RSS feed Livejournal,update list encrypted C2 server names,,,RTM has used an RSS feed on Livejournal to update a list of encrypted C2 server names., T1102 
update,list encrypted C2 server names,,,,RTM has used an RSS feed on Livejournal to update a list of encrypted C2 server names., T1102 
encrypted,C2 server names,,,,RTM has used an RSS feed on Livejournal to update a list of encrypted C2 server names., T1102 
uses,cloud based services,,,,SLOWDRIFT uses cloud based services for C2., T1102 
based,services,,,,SLOWDRIFT uses cloud based services for C2., T1102 
used,Google Apps Script,,,,A Turla JavaScript backdoor has used Google Apps Script as its C2 server., T1102 
uses,Twitoor,,,,Twitoor uses Twitter for command and control., T1102 
used,UBoatRAT,,,,UBoatRAT has used GitHub and a public blog service in Hong Kong for C2 communications., T1102 
obtain,Xbash,,,,Xbash can obtain a webpage hosted on Pastebin to update its C2 domain list., T1102 
hosted,webpage,,,,Xbash can obtain a webpage hosted on Pastebin to update its C2 domain list., T1102 
update,webpage hosted Pastebin,,,,Xbash can obtain a webpage hosted on Pastebin to update its C2 domain list., T1102 
retrieving,Google Doc,,,,yty communicates to the C2 server by retrieving a Google Doc., T1102 
used,Web shells,maintain access victim websites,,,APT32 has used Web shells to maintain access to victim websites., T1100 
